...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,ID2017,class.2017,class.2016,DOB.2017,DOB.2016,testdate,ageinyears
2909,B0549,5,B,5B,other,Friends,Friend1,1,38,F,49,5,2,7,7,6,5,6,6,5,6,5,4,8,NA,2,1,2,2,2,2,1,4,4,1,5,2,NA,1,4,5,3,2,1,2,1,1,1,2,5,2,F,other,1,3,1,2,3,1,3,1,1,2,1,3,2,2,4,1,1,2,2,1,1,5,3,5,7,1,7,1,1,B5,Z06C45,6C,5B,4/26/2005,4/26/2005,1/14/2016,10.7260274
2916,B0550,5,B,5B,Muslim,Friends,Friend1,1,39,F,50,4,4,7,6,1,7,7,6,6,6,4,7,7,MEHEDVI MUSLIM,2,1,1,1,1,1,1,2,1,1,2,4,2,1,4,4,4,1,1,1,1,1,1,1,5,5,F,Hindu,2,1,3,1,2,1,4,1,3,2,2,4,3,2,2,2,1,1,1,1,1,5,2,3,6,7,2,1,0,B5,Z06C46,6C,5B,8/2/2005,8/2/2005,1/14/2016,10.45753425
2923,B0551,5,B,5B,Hindu,Friends,Friend1,1,35,F,51,2,4,7,6,6,5,6,6,5,6,5,4,8,NA,2,2,2,2,1,1,1,1,3,3,2,2,1,1,4,4,3,3,2,2,2,2,1,1,5,2,M,Hindu,1,1,1,1,1,1,4,1,4,4,1,4,4,4,1,1,1,1,1,1,1,5,3,7,7,7,5,0,1,B5,Z06C47,6C,5B,10/17/2005,10/17/2005,1/14/2016,10.24931507
2930,B0552,5,B,5B,Muslim,Friends,Friend1,1,41,F,52,1,3,7,5,2,7,7,6,5,6,6,2,7,SUNNI,2,1,1,3,1,1,1,2,4,1,1,3,2,1,3,2,2,2,1,1,2,1,4,2,2,1,F,Muslim,1,1,2,2,1,2,4,1,1,5,1,4,2,7,3,2,3,3,2,3,1,3,2,1,7,2,7,1,1,B5,Z06C48,6C,5B,6/1/2005,6/1/2005,1/14/2016,10.62739726
2933,B0553,5,B,5B,Hindu,Friends,Friend1,1,10,F,53,1,6,7,7,7,5,6,7,6,6,7,1,8,NA,2,1,1,1,1,1,1,1,4,4,1,1,1,1,4,4,4,1,1,1,1,1,1,1,3,5,M,Hindu,1,2,2,2,1,1,4,1,1,2,1,4,4,4,3,2,1,1,1,1,2,5,3,6,5,7,3,0,1,B5,Z06C49,6C,5B,1/1/2001,NA,1/14/2016,15.04383562
2941,B0554,5,B,5B,Hindu,Friends,Friend1,1,41,F,54,3,4,7,6,7,2,6,6,5,6,5,5,8,NA,2,2,2,2,1,1,1,1,2,1,3,1,1,2,4,4,4,4,4,1,1,1,2,1,5,2,F,Muslim,1,1,2,2,1,2,4,1,1,5,1,4,2,7,3,2,3,3,2,3,1,3,2,1,7,2,7,1,0,B5,Z06C50,6C,5B,4/20/2006,4/20/2006,1/14/2016,9.742465753
2951,B0555,5,B,5B,Hindu,Friends,Friend1,1,39,F,55,2,5,7,7,7,5,7,6,5,6,6,1,7,NA,2,1,1,1,1,1,1,1,4,1,2,2,1,1,4,1,1,3,2,1,1,1,1,1,5,4,F,Hindu,2,1,3,1,2,1,4,1,3,2,2,4,3,2,2,2,1,1,1,1,1,5,2,3,6,7,2,1,1,B5,Z06C51,6C,5B,11/28/2005,11/28/2005,1/14/2016,10.13424658
2955,B0556,5,B,5B,Hindu,Friends,Friend1,1,21,F,56,1,3,7,7,7,4,7,7,3,3,3,3,2,NA,2,1,1,3,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,M,Hindu,4,3,5,1,4,1,4,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,4,6,6,6,6,0,1,B5,Z06C52,6C,5B,6/6/2005,6/6/2005,1/14/2016,10.61369863
2962,B0557,5,B,5B,Hindu,Friends,Friend1,1,44,F,57,7,4,4,7,6,4,7,5,7,5,4,4,8,NA,2,1,1,1,1,1,1,1,4,1,5,3,1,1,4,4,4,1,1,1,2,1,2,1,2,2,F,other,1,1,1,1,2,1,4,1,4,3,2,4,4,3,3,3,2,2,2,2,3,3,1,1,7,7,1,1,0,B5,Z06C53,6C,5B,5/5/2005,5/5/2005,1/14/2016,10.70136986
2965,B0558,5,B,5B,Hindu,Friends,Friend1,1,20,F,58,1,1,7,7,7,5,7,7,6,7,7,1,8,NA,2,1,1,1,1,1,1,1,4,1,3,3,1,1,4,4,4,1,1,1,2,1,1,1,5,5,M,Hindu,2,1,2,1,1,1,3,2,5,2,1,4,2,2,2,1,1,1,1,1,1,5,3,7,6,7,6,0,1,B5,Z06C54,6C,5B,8/30/2005,NA,1/14/2016,10.38082192
